"panel","row","col","estimate"
"Panel D: Assignment Selection + Timing Selection","Causal Factor Model","All Periods: E(Bias)",-0.0421444932653272
"Panel D: Assignment Selection + Timing Selection","Causal Factor Model","All Periods: MAD",0.0606038459912898
"Panel D: Assignment Selection + Timing Selection","Causal Factor Model","All Periods: RMSE",2.34624119560373
"Panel D: Assignment Selection + Timing Selection","Causal Factor Model","Treated Periods: E(Bias)",-1.9308839402796
"Panel D: Assignment Selection + Timing Selection","Causal Factor Model","Treated Periods: MAD",1.9308839402796
"Panel D: Assignment Selection + Timing Selection","Causal Factor Model","Treated Periods: Coverage",0.24
"Panel D: Assignment Selection + Timing Selection","Causal Factor Model","Untreated Periods: E(Bias)",0.1467294514361
"Panel D: Assignment Selection + Timing Selection","Causal Factor Model","Untreated Periods: MAD",0.146854485157996
"Panel D: Assignment Selection + Timing Selection","Causal Factor Model","Untreated Periods: Coverage",0.082
"Panel D: Assignment Selection + Timing Selection","Aggregated Proj. Matrix","All Periods: E(Bias)",-0.0410425595793048
"Panel D: Assignment Selection + Timing Selection","Aggregated Proj. Matrix","All Periods: MAD",0.0610987515900449
"Panel D: Assignment Selection + Timing Selection","Aggregated Proj. Matrix","All Periods: RMSE",0.757518414003018
"Panel D: Assignment Selection + Timing Selection","Aggregated Proj. Matrix","Treated Periods: E(Bias)",-0.387540327535335
"Panel D: Assignment Selection + Timing Selection","Aggregated Proj. Matrix","Treated Periods: MAD",0.402081500521585
"Panel D: Assignment Selection + Timing Selection","Aggregated Proj. Matrix","Treated Periods: Coverage",1
"Panel D: Assignment Selection + Timing Selection","Aggregated Proj. Matrix","Untreated Periods: E(Bias)",-0.0063927827837018
"Panel D: Assignment Selection + Timing Selection","Aggregated Proj. Matrix","Untreated Periods: MAD",0.0499027214634193
"Panel D: Assignment Selection + Timing Selection","Aggregated Proj. Matrix","Untreated Periods: Coverage",0.522
