permno,date_index,master_deal_no,group,car_log_sc_1,car_log_vwretd_1,pct_cash,pct_stk,tpublic,car_sc,car_refit_250.x,r_sc,pre_rmse_sc,car_apm,car_refit_250.y,r_apm,pre_rmse_apm
10001,4748,1937291020,5223,0.013248167000711,-0.002694271504879,,100,Priv.,-0.0177864809440562,0.265538483026633,,0.0151987757023492,0.0050390984229249,0.0218476653379733,1,0.0193785467558582
10001,5362,2334252020,6913,0.00712273875251412,0.0388397052884102,100,,Priv.,0.0089229222303639,-0.16058262485329,,0.0102355300892894,0.020269727320555,-0.064060058232008,1,0.0140662705879076
10001,5682,2527190020,7865,-0.00522204767912626,0.00683570187538862,,100,Priv.,-0.0023278155627712,-0.50974014386961,,0.00815462005087334,0.00250959735919609,-0.129870435962454,1,0.011767110198145
10002,1363,321655020,9502,0.0820351541042328,0.131155401468277,,100,Public,0.10435696287577,-1.66951073124382,,0.0213010795311805,0.119081213378307,-2.37394832521322,2,0.0316715636451551
10002,2661,771923020,15544,0.0561130344867706,0.0571105517446995,,100,Priv.,0.046914281418767,-1.17927190355169,,0.0247899750998967,0.065511634036264,-0.849552782711068,1,0.0329686961934292
10002,2740,805980020,15887,0.0429461859166622,0.0465606823563576,,100,Priv.,-0.004474911773622,-1.1706300917467,,0.0257478201919514,0.040109856185059,-0.248644475012053,1,0.0348877344372502
10010,1161,249065020,7687,0.0373663455247879,0.0238245744258165,100,,Sub.,0.013097060997215,-0.882211175651207,,0.0295507580830247,0.020936022816995,-2.79099949954217,1,0.031809158431682
10011,2014,516884020,12662,-0.0290248543024063,-0.0203426107764244,100,,Sub.,-0.022580035775708,-1.00173359843081,,0.0262522732841399,-0.0145875357160941,0.188055862683026,1,0.0348500000897995
10016,3106,989923040,17418,0.0325050875544548,0.0620145499706268,100,,Sub.,0.043127209221558,-0.31305017229211,,0.0157977438628714,0.04815361064686,0.22042698169983,1,0.0239775811407778
10019,2559,731969040,15049,0.208283603191376,0.221161603927612,100,,Sub.,0.182268850624277,-2.11582359679194,,0.0219958651820285,0.171173478812554,-1.5523107561681,1,0.0269728243355346
10020,396,12216020,1300,0.00163733819499612,-0.00335095729678869,,100,Priv.,-0.00361601861300601,-0.00621473019371502,,0.0122670530968345,-0.0101828825867187,0.355351579575308,1,0.0190079817283498
10020,477,21483020,6113,-0.0141924843192101,-0.0737823694944382,,100,Priv.,0.0794281989383341,-0.336700355180626,,0.00813018546310898,0.059776383814925,-0.292760993572219,1,0.0149886218265736
10020,499,21754020,6187,0.0174776986241341,0.00490579195320606,,100,Priv.,0.035365406773664,-0.424305005300832,,0.00787374011959702,-0.002236272519304,-0.412147107495548,1,0.0120227186175879
10020,846,164293020,3399,0.00246188417077065,0.00989125296473503,100,,Public,0.0169053521437418,-0.970278481125701,,0.0136650746216676,0.0137521292722694,-0.76224451275208,1,0.020227081776883
10020,850,164722020,3410,0.0191484838724136,0.0267445854842663,,100,Public,0.00917574324127675,-1.0296475129744,,0.0137737069583896,0.0275594726538758,-0.817163752357303,1,0.0203244231479054
10020,1116,239878020,7184,-0.0302185248583555,-0.0294613111764193,,100,Priv.,-0.0295854574230801,-0.739339204788148,,0.0138851825893799,-0.0330865489171711,-0.303590813502245,1,0.0224949181608959
10021,1734,440477020,11894,0.0761056989431381,0.103703185915947,,100,Priv.,0.146641056156438,-0.599013590171311,,0.143029719035014,0.031709449264323,-1.72690136737173,1,0.160686919890106
10025,645,111153020,778,0.00391627009958029,0.00820622127503157,,100,Priv.,-0.0390001519637229,0.282633370744398,,0.0207991809415345,0.01643719194705,0.5110710652447,2,0.028104020521037
10025,4868,2003488020,5544,-0.0432959906756878,-0.00958778150379658,100,,Sub.,-0.066881078576633,-0.00631906462200499,,0.0183843042025708,-0.0929991678269473,0.952629356555444,1,0.0158649805101411
10026,4594,1855591020,4800,0.0240873638540506,0.0218235738575459,100,,Sub.,0.0207572306730317,-0.156264158735307,,0.0119978570063467,0.0136200887253894,0.187235686215111,1,0.0117170503456071
10028,4445,1777257020,4355,-0.0725705102086067,-0.0777900964021683,,100,Public,-0.0593299839057743,0.153515430189565,,0.0375008986606548,0.022224484734482,-0.183148256361087,1,0.043466617719466
10032,2832,861894020,16258,-0.161183625459671,-0.154621794819832,,100,Public,-0.188580970204244,-1.10096731182711,,0.0185174939393173,-0.153623691437419,-1.86311261416497,1,0.0201058276684722
10032,3083,993103040,17444,0.0440185964107513,0.00401287712156773,100,,Sub.,0.024374724088385,0.450671232082131,,0.0245888789087564,0.143014805900289,1.80840323023274,1,0.0290757423982847
10032,3141,1021724040,184,0.0243960376828909,0.0290440861135721,100,,Priv.,-0.003231068612813,-0.677989881881696,,0.0278503525607934,-0.00620671022968597,-0.185688219370974,1,0.0304952518522305
10032,5436,2377401040,7082,0.101487420499325,0.0824892669916153,100,,Sub.,0.067768545762398,-0.26686908413948,,0.013975900051906,0.058376299379689,-0.417553612694703,1,0.0121057429105074
10039,1717,422695020,11647,0.0728983506560326,0.0646717622876167,,100,Priv.,0.041894137082345,-1.64808621098662,,0.0690853873006376,0.061014111015695,-2.41249229617425,1,0.0806155707329523
10044,5617,2486845020,7665,-0.00776941375806928,-0.00690251169726253,100,,Priv.,-0.0075148393992224,-0.460458621550492,,0.011663622962825,-0.00728951004519991,-0.246736064826942,1,0.0159387875109803
10051,998,207332020,5824,-0.0711995363235474,-0.0515502728521824,100,,Sub.,-0.049136953083152,-0.747489600794677,,0.0654944487579943,-0.059682770681447,-0.542375439721065,1,0.0775664845082499
10051,4787,1956686020,5335,-0.0108831953257322,0.00693773292005062,100,,Priv.,-0.00751223450568801,0.546439466330448,,0.0202894137074591,0.0662208874183098,1.85837826592715,1,0.0239982542351453
10051,5220,2244452020,6486,0.109464257955551,0.112752988934517,100,,Priv.,0.111328966327952,0.291460254045528,,0.0123298423700588,0.124374798232176,0.26636839149135,1,0.0126337795706539
10056,3124,1011237020,83,-0.0415618754923344,-0.0666262581944466,,100,Public,-0.0254863148755508,-0.512680849961483,,0.0187636287215313,-0.119499182837971,-0.0420961311783894,1,0.0259216447756652
10057,1727,424743020,11680,0.0314602702856064,0.0381300896406174,100,,Priv.,0.0161045300669996,-0.266559298015399,,0.0210436261275332,0.066675678006629,2.0384071300101,1,0.029970952836325
10062,507,24920020,7694,0.0635476335883141,0.106722086668015,100,,Public,0.0325248230828556,-0.459413100958944,,0.0427371901565226,-0.09136510195486,-1.13088507916099,1,0.0354256686554728
10075,2673,777240020,15606,0.0819637998938561,0.093104749917984,100,,Priv.,0.0774136966783572,-0.628810490519783,,0.0177986052071603,0.170713627767642,-0.355638066979112,1,0.0235663040706247
10078,411,244049020,7398,0.0420743934810162,0.0262459181249142,,100,Priv.,0.050090743788667,-0.171312818356899,,0.020842107835493,0.136935703470195,1.00263398621019,1,0.0213150646593865
10078,2703,789565020,15755,-0.029798423871398,-0.0044447798281908,,100,Sub.,-0.0200580303414765,0.128483400685354,,0.0187456342704389,-0.09513811320411,-0.77075665769349,1,0.0193567043403707
10078,3249,1071103020,610,0.0266785472631454,0.13327169418335,,100,Priv.,0.086654244655653,-0.994300437985222,,0.0184722429123614,0.0335826461512828,-1.36874673886028,1,0.0200236117746098
10078,3284,1088146020,736,-0.028713546693325,-0.0792780071496964,,100,Priv.,-0.050243312386747,-0.760529358037983,,0.0222855891009048,0.000786678758655013,-0.880083142651868,1,0.0226065523923583
10078,3637,1328613020,1979,0.0355047509074211,-0.0277727916836739,,100,Priv.,0.014735489669621,-1.17325005008926,,0.0283434413016946,0.147730485694968,-1.64979509802653,2,0.0249015145535869
10078,3667,1345110020,2045,-0.00860276818275452,0.106501564383507,100,,Priv.,0.02144616266967,-1.11723175616876,,0.0283459134408233,-0.050267135487966,-2.35766367378861,2,0.0246756633066816
10078,3804,1419948020,2385,-0.0124075096100569,-0.0199328474700451,100,,Priv.,-0.025333711727273,-0.123720659042525,,0.0278514543279749,-0.00234253972951992,-0.677484884748141,2,0.0241999954533778
10078,3918,1484449020,2736,0.0311969965696335,0.0436227470636368,,100,Priv.,0.0133689635509753,-0.235994058660762,,0.0227659676053283,-0.014369379814469,-0.407030316458699,2,0.0197261962437027
10078,4093,1620755020,3212,0.0615656040608883,0.0669920742511749,100,,Priv.,0.062665602139068,-0.373797004858091,,0.0183052368247699,0.0397409877768217,-0.583301488986422,1,0.0154694184569993
10078,4190,1663238020,3532,-0.0117596676573157,-0.00700375670567155,100,,Sub.,-0.0316532035068849,-0.181781563217206,,0.0176507424143032,-0.017868474859111,-0.80844163795543,1,0.0150990930379231
10078,4206,1668849020,3571,-0.0468382015824318,-0.0454736277461052,100,,Public,-0.0412165280012107,-0.0356764502389152,,0.0148158670297617,-0.0641442088102074,-0.424582340806704,1,0.013099840031313
10079,496,21625020,6149,-0.066841259598732,-0.0515545681118965,,100,Priv.,-0.0124244132049077,-1.24527130694973,,0.0408203716278627,0.00222977333608299,-1.15111855991979,1,0.0486937070755959
10079,1245,266859020,8490,-0.0475046075880528,-0.0428053066134453,,100,Priv.,-0.074833357816909,-1.99054947428963,,0.0363082015765987,-0.104034015436075,-3.85106179220041,3,0.0454664853577576
10085,1344,315700020,9395,0.0906505510210991,0.0918246060609818,100,,Public,0.0853204629752951,-0.852657947280937,,0.0167294338861495,0.0521458380099493,-1.02745091926668,2,0.0242318471151394
10086,1304,307269020,9174,0.13164746761322,0.0848466381430626,,100,Priv.,0.024143478222743,-0.878740273162263,,0.0291599884212804,0.163384690490047,5.55662622525998,3,0.0383582684664003
10089,1424,335215020,9877,-0.0370027907192707,-0.0242456626147032,100,,Sub.,-0.038167494487484,-2.11389263133102,,0.0451702318265931,-0.083788317094474,-3.19036078055645,3,0.0547799781627447
10089,2196,578513020,13373,-0.00713154580444098,-0.00454373983666301,,100,Priv.,-0.00974341317781202,-1.02596530688762,,0.0265114645386909,-0.05988016244167,-2.24440505278878,2,0.0305421273380234
10089,3196,1053853020,478,0.0833422765135765,0.0947153642773628,100,,Sub.,0.0739687285018784,-1.65294913638795,,0.0303911266638138,0.12851147010668,-0.308922124613341,1,0.037611668978537
10095,1032,219635020,6271,-0.0641525685787201,-0.045652698725462,,100,Sub.,-0.0546898898984563,-0.307317194997354,,0.0285232253133411,-0.104013525461932,-1.35396633039375,1,0.0283710117707103
10100,4884,2012697020,5593,-0.0621820725500584,0.0137242004275322,100,,Priv.,0.0498758438038946,-1.17895457765329,,0.126877671152946,-0.127444708870782,1.91215730349564,1,0.142231143690424
10104,1914,473788020,12277,0.0194304548203945,0.0409178920090199,100,,Sub.,-0.0688895196695893,-0.819726846957882,,0.0136713168517391,0.048489164807286,0.334125353690898,1,0.0231520238960646
10104,2218,587546020,13471,-0.0511556565761566,-0.0272054076194763,100,,Public,-0.0564711026859075,-0.433641015312985,,0.0158264045410552,-0.043311593584292,-1.44547704941038,2,0.0195301244784012
10104,2431,684825020,14353,0.0224390178918839,0.0411164313554764,100,,Priv.,0.0241305239501394,-0.62550867129895,,0.0174342011206279,-0.015684414609236,0.349291871127457,2,0.0201757436435619
10104,2827,859433020,16226,-0.0028263246640563,0.00324806850403547,100,,Priv.,-0.017439822864181,0.100103112113331,,0.022146711434047,-0.00831197793121,-1.3281858106313,1,0.023479395448524
10104,2860,876004040,16370,0.0423286780714989,0.00129355443641543,100,,Priv.,-0.00466415810335399,0.771881661744971,,0.0237963431761976,-0.074049719160338,-0.368570838773887,1,0.026667231466283
10104,2901,897662040,16557,0.0433750972151756,0.0608872286975384,100,,Sub.,0.053722367353154,0.668314304793905,,0.0254724951807283,0.046457490446376,-0.372902146940508,1,0.028258487080521
10104,3774,1402097020,2293,-0.0532688125967979,-0.0443298444151878,100,,Public,-0.080428246364224,-0.514361619140937,,0.0199276080573632,-0.042890183235212,-1.16806365255426,2,0.0177386072975693
10104,3993,1994640020,5498,0.0260528102517128,0.0141834998503327,,100,Priv.,0.0186957685924021,0.0096381628109438,,0.0105220830946541,0.025724336858118,-0.0198753176556966,1,0.0109682491684891
10104,4419,1765202020,4282,-0.00766059011220932,-0.0151477623730898,100,,Priv.,-0.0175900505291597,0.13268279895426,,0.00846285274896236,-0.0538451795493698,0.01431318436954,1,0.0105824513939097
10104,4706,1913932020,5099,-0.0163321457803249,-0.029272586107254,100,,Public,-0.0222083546737464,0.201250861211726,,0.0095501878835522,-9.748819758217e-05,1.05665329762708,1,0.00982008290914287
10104,4977,2066578020,5794,0.0168920271098614,0.0353653952479363,100,,Public,0.019471444512889,-0.300768128067231,,0.0105502662537287,0.022085902969551,-0.380703706271631,1,0.0106822246814821
10104,6156,2952406020,9025,-0.0110431928187609,-0.00919306557625532,100,,Public,-0.0149605112146842,-0.121002642893367,,0.00653120627675333,-0.0021489664171476,-0.133429968758493,1,0.00685658068323594
10104,6831,3847595020,10879,-0.126845002174377,-0.1214789301157,100,,Public,-0.118334440695636,-0.187380416725436,,0.0102926739011475,-0.124881763733964,-0.18355589651908,1,0.0146252811583113
10107,1166,250158020,7735,0.0132801700383425,0.00350652378983796,,100,Priv.,0.0202447259052799,-0.481832711702814,,0.0128049774064468,0.025655571364155,-1.72931682739632,1,0.0151973171344387
10107,1596,391700040,11025,0.00617174664512277,-0.000950874295085669,,100,Public,-0.007078453807443,0.0383134634625773,,0.00993291890289858,0.0150073606572736,1.18158281633724,2,0.0184639722759246
10107,2091,542151020,12953,0.0302335191518068,0.0493502914905548,,100,Priv.,0.0121759717639495,0.0582999028792956,,0.0113899318881605,-0.030237387699021,-0.516110356151743,2,0.016729950469172
10107,2270,615199020,13687,0.0776902809739113,0.0848347246646881,100,,Sub.,0.0784369395595368,0.201017719785259,,0.00891825806098849,0.0746248644161151,-0.250962820536669,1,0.0132352425134517
10107,2871,881312040,16423,-0.047019936144352,-0.027802899479866,100,,Public,-0.056088937153854,-0.756516256551525,,0.0106151722183254,-0.0748992985812451,-1.5268177930721,1,0.0137965351515808
10107,3338,1179630040,1015,-0.0154910385608673,0.0212425570935011,100,,Priv.,-0.0288981985131744,-0.798488364051134,,0.0206181194667314,-0.0821657724860301,-0.453767398226626,1,0.0197425585796346
10107,3641,1329928040,1988,-0.0255344454199076,-0.0137677639722824,100,,Priv.,-0.0287999939550114,-0.836232941332099,,0.0104391399691782,0.00292325598788949,-0.911026434963294,2,0.0112014743287765
10107,4775,1951436020,5295,-0.00131038436666131,-0.00215146178379655,100,,Priv.,-0.015623717378326,-0.161991116418559,,0.00653939236072873,0.00150233142443701,0.372556959308139,1,0.00826384018283741
10107,5320,2307614040,6767,-0.0218357611447573,-0.0221662614494562,100,,Priv.,-0.0341746453086708,0.212008536262197,,0.00584236098460562,-0.0288146942145793,0.242750828656897,1,0.00653602575519588
10107,5514,2424673020,7326,-0.00790341198444367,-0.000337939709424973,100,,Priv.,-0.0060305964162859,-0.148385332525205,,0.00649604505200713,-0.0052486165399598,-0.101296629094797,1,0.00572196905428323
10107,5729,2562806040,7986,-0.0721742734313011,-0.0800120979547501,100,,Sub.,-0.0774758966045016,0.0682806089060963,,0.00876483360430746,-0.076220961426836,-0.0162211192930528,1,0.00920271955160554
10107,5921,2672875040,8510,-0.00354252196848393,-0.00261002825573087,100,,Priv.,0.001918208448733,0.0875707896384362,,0.00896420538616005,0.0258442507142662,0.106073755386931,1,0.0102586499410458
10107,6396,3251289020,9596,0.00907549262046814,0.0177426598966122,,100,Priv.,0.0041091743425633,0.270405984369281,,0.00515353184851623,0.00362536571776721,0.717759924179381,4,0.00706184833581787
10107,6639,3637667020,10285,0.0310889463871717,0.0341469570994377,100,,Priv.,0.0155063278502204,-0.0831159683230883,,0.00633539549375874,0.0629613437016431,-0.236556509223256,1,0.0107630444359922
10108,746,126152020,1536,-0.0216517373919487,-0.0235707461833954,,100,Public,-0.0264880819571133,-0.292254736584853,,0.0178271343337206,-0.018335650046568,0.498994029273174,1,0.0221842361422652
10108,808,143694020,2481,-0.0648210793733597,-0.0779188200831413,100,,Sub.,-0.0808783144779196,-0.835633645818036,,0.0165326122442251,0.0389449966502322,0.0108667292323181,1,0.0203186965892297
10108,861,165897020,3498,0.0919916182756424,0.0926723033189774,,100,Priv.,0.101815103526881,-1.15628450710437,,0.0159294426778425,0.0828335090630676,-1.91418858439893,1,0.0180257190782864
10108,1984,495162020,12530,-0.0148000344634056,-0.0139029379934073,,100,Priv.,-0.043748508119118,-0.523050131763283,,0.0108362132581454,-0.0246384585516789,-0.0489110794985563,1,0.0184571837031463
10108,1986,495993020,12543,0.0132582644000649,-0.000450682826340199,,100,Priv.,-0.00983510056529631,-0.467208802868692,,0.0110204196474564,-0.0086752956560839,0.0182087857209748,1,0.0188107116268784
10108,2143,557168020,13157,-0.00674808956682682,0.00499639147892594,100,,Sub.,-0.0548878662604957,-0.180119557873489,,0.0128029430925427,-0.041811326981248,-0.16208335524869,2,0.0174393256643249
10108,2293,622748020,13778,-0.0475025810301304,-0.0540774911642075,,100,Priv.,-0.086148695396327,-0.012325008786027,,0.0153130403020402,-0.055688242088356,-0.351117432845723,2,0.0196949168540517
10108,2340,651243020,13971,-0.00488988729193807,-0.0157469138503075,100,,Sub.,-0.0172879659948867,-0.0188407712478314,,0.0140475583363793,0.013138575555627,-0.44806455704303,2,0.0189938392409388
