"row","col","estimate","estimate_allcohorts","n_events","n_cohorts"
"1980-1989","APM",2.68239756861877,2.68239756861877,156,122
"1980-1989","CFM",0.0352400534254215,0.0352400534254215,156,122
"1990-1999","APM",5.01037141292146,5.01037141292146,147,125
"1990-1999","CFM",0.161015071449251,0.161015071449251,147,125
"2000-2009","APM",3.5136571858745,3.5136571858745,202,169
"2000-2009","CFM",0.0424727538812898,0.0424727538812898,202,169
"2010-2020","APM",0.623678527745095,0.623678527745095,186,147
"2010-2020","CFM",0.0488623399816304,0.0488623399816304,186,147
