"table","panel","row","col","estimate"
1,"Panel B: Assignment Selection + Random Timing","Gsynth (PCA)","All Periods: RMSE",0.570225182283263
1,"Panel B: Assignment Selection + Random Timing","Gsynth (PCA)","Treated Periods: E(Bias)",0.0306917688379707
1,"Panel B: Assignment Selection + Random Timing","Gsynth (PCA)","Treated Periods: MAD",0.154882190328541
1,"Panel B: Assignment Selection + Random Timing","Gsynth (PCA)","Treated Periods: Coverage",1
1,"Panel B: Assignment Selection + Random Timing","Gsynth (PCA)","Untreated Periods: E(Bias)",-0.00142356039772115
1,"Panel B: Assignment Selection + Random Timing","Gsynth (PCA)","Untreated Periods: MAD",0.0397430140283571
1,"Panel B: Assignment Selection + Random Timing","Gsynth (PCA)","Untreated Periods: Coverage",0.044
1,"Panel C: Random Assignment + Timing Selection","Simple Means","All Periods: E(Bias)",-0.011445769045718
1,"Panel C: Random Assignment + Timing Selection","Simple Means","All Periods: MAD",0.0481690631791812
1,"Panel C: Random Assignment + Timing Selection","Simple Means","All Periods: RMSE",0.626909177573787
1,"Panel C: Random Assignment + Timing Selection","Simple Means","Treated Periods: E(Bias)",-0.000211874079326317
1,"Panel C: Random Assignment + Timing Selection","Simple Means","Treated Periods: MAD",0.208860191963809
1,"Panel C: Random Assignment + Timing Selection","Simple Means","Treated Periods: Coverage",1
1,"Panel C: Random Assignment + Timing Selection","Simple Means","Untreated Periods: E(Bias)",-0.0125691585423572
1,"Panel C: Random Assignment + Timing Selection","Simple Means","Untreated Periods: MAD",0.0450504701796632
1,"Panel C: Random Assignment + Timing Selection","Simple Means","Untreated Periods: Coverage",0.048
1,"Panel C: Random Assignment + Timing Selection","CAPM","All Periods: E(Bias)",0.247463395726979
1,"Panel C: Random Assignment + Timing Selection","CAPM","All Periods: MAD",0.271681545179188
1,"Panel C: Random Assignment + Timing Selection","CAPM","All Periods: RMSE",3.49458973909989
1,"Panel C: Random Assignment + Timing Selection","CAPM","Treated Periods: E(Bias)",2.70936645277613
1,"Panel C: Random Assignment + Timing Selection","CAPM","Treated Periods: MAD",2.70936645277613
1,"Panel C: Random Assignment + Timing Selection","CAPM","Treated Periods: Coverage",1
