"method","event_date","catt","se"
"Gsynth",-100,0.000170101662677477,0.00105586427959206
"Gsynth",-99,0.0018944754999057,0.00146369976990463
"Gsynth",-98,0.00339430409433693,0.00183630758095285
"Gsynth",-97,0.00287100601060191,0.00208722740964032
"Gsynth",-96,0.00308597066052253,0.00220970875581417
"Gsynth",-95,0.00381817566021944,0.00247908602395341
"Gsynth",-94,0.00415941856940619,0.00269759251834111
"Gsynth",-93,0.00371029490061356,0.00279905901173152
"Gsynth",-92,0.00374034212452152,0.00297950429897987
"Gsynth",-91,0.00273368215035645,0.0031062144539326
"Gsynth",-90,0.00365014883775246,0.00332843946672633
"Gsynth",-89,0.00206311913700508,0.00341481047888667
"Gsynth",-88,0.0014664525053548,0.00346802214398374
"Gsynth",-87,0.00145011575921251,0.00356147393072341
"Gsynth",-86,0.00312617394310291,0.00365470784250653
"Gsynth",-85,0.00388360436916031,0.00374166276360556
"Gsynth",-84,0.00402441290122676,0.00385399963793196
"Gsynth",-83,0.00291197822357817,0.00400170821510071
"Gsynth",-82,0.00351696923576205,0.00400830771371873
"Gsynth",-81,0.0023604116035011,0.00413749973127607
"Gsynth",-80,0.00160804902282585,0.00440168562594269
"Gsynth",-79,0.00210816311700695,0.00450133299277532
"Gsynth",-78,0.00410723096540024,0.0046345699262563
"Gsynth",-77,0.00409355691321282,0.00470456647503004
"Gsynth",-76,0.00436421957377024,0.00485744728669122
"Gsynth",-75,0.00325605616062701,0.00495219414001361
"Gsynth",-74,0.00455498598935189,0.00496924848919766
"Gsynth",-73,0.00566687833539939,0.00502368662148282
"Gsynth",-72,0.00763343166923855,0.00532863008962583
"Gsynth",-71,0.00933241336010484,0.00569541650355527
"Gsynth",-70,0.00881012506678533,0.00568877155110526
"Gsynth",-69,0.00808848347586697,0.00578315132859807
"Gsynth",-68,0.00917637844086348,0.00611052622942674
"Gsynth",-67,0.00761704529833776,0.00615122027146532
"Gsynth",-66,0.0074990741613825,0.0061466603953822
"Gsynth",-65,0.00764303310040305,0.0062953162720412
"Gsynth",-64,0.00906858957760363,0.00635177750998632
"Gsynth",-63,0.00880225420259555,0.00646011144727061
"Gsynth",-62,0.00792944681118246,0.00650727727369881
"Gsynth",-61,0.00814151574069572,0.00656746221153147
"Gsynth",-60,0.00987552330492614,0.00661967951440919
"Gsynth",-59,0.00907619718883696,0.00669089292720361
